workerid,movieID,reactionTime,PArray,AArray,trialNum,expt
633,1,451,1,1,14,6:Attn19s
594,7,1259,0,0,14,6:Attn19s
614,5,454,0,1,14,6:Attn19s
589,3,411,1,0,14,6:Attn19s
617,5,599,0,1,14,6:Attn19s
632,3,731,1,0,14,6:Attn19s
627,1,398,1,1,14,6:Attn19s
621,5,457,0,1,14,6:Attn19s
638,5,498,0,1,14,6:Attn19s
587,1,431,1,1,14,6:Attn19s
2,1,403,1,1,14,6:Attn19s
576,3,541,1,0,14,6:Attn19s
584,5,503,0,1,14,6:Attn19s
581,1,496,1,1,14,6:Attn19s
626,5,1254,0,1,14,6:Attn19s
410,1,669,1,1,14,6:Attn19s
598,7,469,0,0,14,6:Attn19s
574,3,434,1,0,14,6:Attn19s
619,7,967,0,0,14,6:Attn19s
629,3,472,1,0,15,6:Attn19s
637,5,597,0,1,15,6:Attn19s
20,5,406,0,1,15,6:Attn19s
578,5,563,0,1,15,6:Attn19s
590,5,848,0,1,15,6:Attn19s
622,3,363,1,0,15,6:Attn19s
620,7,725,0,0,15,6:Attn19s
582,7,488,0,0,15,6:Attn19s
263,3,568,1,0,15,6:Attn19s
623,3,762,1,0,15,6:Attn19s
580,5,759,0,1,15,6:Attn19s
630,5,409,0,1,15,6:Attn19s
567,3,553,1,0,15,6:Attn19s
636,3,514,1,0,15,6:Attn19s
148,7,589,0,0,15,6:Attn19s
602,7,472,0,0,15,6:Attn19s
273,5,423,0,1,15,6:Attn19s
609,1,443,1,1,15,6:Attn19s
575,1,1103,1,1,15,6:Attn19s
615,5,981,0,1,15,6:Attn19s
605,5,575,0,1,15,6:Attn19s
611,5,426,0,1,15,6:Attn19s
570,7,385,0,0,15,6:Attn19s
624,3,1004,1,0,15,6:Attn19s
614,7,380,0,0,15,6:Attn19s
608,7,435,0,0,15,6:Attn19s
617,1,664,1,1,15,6:Attn19s
632,3,754,1,0,15,6:Attn19s
627,7,397,0,0,15,6:Attn19s
2,5,628,0,1,15,6:Attn19s
581,7,440,0,0,15,6:Attn19s
626,1,595,1,1,15,6:Attn19s
410,3,528,1,0,15,6:Attn19s
634,5,854,0,1,15,6:Attn19s
595,1,466,1,1,15,6:Attn19s
574,5,502,0,1,15,6:Attn19s
619,1,736,1,1,15,6:Attn19s
20,7,510,0,0,16,6:Attn19s
585,5,607,0,1,16,6:Attn19s
578,3,618,1,0,16,6:Attn19s
593,5,887,0,1,16,6:Attn19s
610,3,981,1,0,16,6:Attn19s
582,5,539,0,1,16,6:Attn19s
579,1,536,1,1,16,6:Attn19s
567,5,623,0,1,16,6:Attn19s
636,1,385,1,1,16,6:Attn19s
609,7,465,0,0,16,6:Attn19s
631,7,419,0,0,16,6:Attn19s
628,5,744,0,1,16,6:Attn19s
575,7,518,0,0,16,6:Attn19s
221,1,458,1,1,16,6:Attn19s
612,1,735,1,1,16,6:Attn19s
